Processor,Transistor count,Date of introduction,Designer(s),Manufacturer(s),Process,Area,Ref
Tahiti,4312711873,2011-01-01,AMD,TSMC,28.0,365.0,[126]
GK107 Kepler,1270000000,2012-01-01,Nvidia,TSMC,28.0,118.0,[108]
Cape Verde,1500000000,2012-01-01,AMD,TSMC,28.0,123.0,[108]
GK106 Kepler,2540000000,2012-01-01,Nvidia,TSMC,28.0,221.0,[108]
Pitcairn,2800000000,2012-01-01,AMD,TSMC,28.0,212.0,[108]
GK104 Kepler,3540000000,2012-01-01,Nvidia,TSMC,28.0,294.0,[127]
GK110 Kepler,7080000000,2012-01-01,Nvidia,TSMC,28.0,561.0,[128][129]
Oland,1040000000,2013-01-01,AMD,TSMC,28.0,90.0,[108]
Bonaire,2080000000,2013-01-01,AMD,TSMC,28.0,160.0,[108]
Hawaii,6300000000,2013-01-01,AMD,TSMC,28.0,438.0,[108]
GM107 Maxwell,1870000000,2014-01-01,Nvidia,TSMC,28.0,148.0,[108]
GM206 Maxwell,2940000000,2014-01-01,Nvidia,TSMC,28.0,228.0,[108]
Tonga,5000000000,2014-01-01,AMD,"TSMC, GlobalFoundries",28.0,366.0,[108]
GM204 Maxwell,5200000000,2014-01-01,Nvidia,TSMC,28.0,398.0,[108]
GM200 Maxwell,8000000000,2015-01-01,Nvidia,TSMC,28.0,601.0,[108]
Fiji,8900000000,2015-01-01,AMD,TSMC,28.0,596.0,[108]
"Polaris 11 ""Baffin""",3000000000,2016-01-01,AMD,"Samsung, GlobalFoundries",14.0,123.0,[108][130]
GP106 Pascal,4400000000,2016-01-01,Nvidia,TSMC,16.0,200.0,[108]
"Polaris 10 ""Ellesmere""",5700000000,2016-01-01,AMD,"Samsung, GlobalFoundries",14.0,232.0,[131]
GP104 Pascal,7200000000,2016-01-01,Nvidia,TSMC,16.0,314.0,[108]
GP100 Pascal,15300000000,2016-01-01,Nvidia,"TSMC, Samsung",16.0,610.0,[132]
GP108 Pascal,1850000000,2017-01-01,Nvidia,Samsung,14.0,74.0,[108]
"Polaris 12 ""Lexa""",2200000000,2017-01-01,AMD,"Samsung, GlobalFoundries",14.0,101.0,[108][130]
GP107 Pascal,3300000000,2017-01-01,Nvidia,Samsung,14.0,132.0,[108]
GP102 Pascal,11800000000,2017-01-01,Nvidia,"TSMC, Samsung",16.0,471.0,
Vega 10,12500000000,2017-01-01,AMD,"Samsung, GlobalFoundries",14.0,484.0,[133]
GV100 Volta,21100000000,2017-01-01,Nvidia,TSMC,12.0,815.0,[1]
TU106 Turing,10800000000,2018-01-01,Nvidia,TSMC,12.0,445.0,
Vega 20,13230000000,2018-01-01,AMD,TSMC,7.0,331.0,[108]
TU104 Turing,13600000000,2018-01-01,Nvidia,TSMC,12.0,545.0,
TU102 Turing,18600000000,2018-01-01,Nvidia,TSMC,12.0,754.0,[134]
TU117 Turing,4700000000,2019-01-01,Nvidia,TSMC,12.0,200.0,
TU116 Turing,6600000000,2019-01-01,Nvidia,TSMC,12.0,284.0,
Navi 10,10300000000,2019-01-01,AMD,TSMC,7.0,251.0,
